datetime,open,high,low,close,tick_volume,spread_points,real_volume
2025.04.17 18:30:00,142.148,142.231,142.148,142.202,691,0,0
2025.04.17 18:35:00,142.201,142.307,142.184,142.305,659,0,0
2025.04.17 18:40:00,142.303,142.327,142.230,142.235,647,2,0
2025.04.17 18:45:00,142.239,142.311,142.224,142.282,763,1,0
2025.04.17 18:50:00,142.285,142.373,142.278,142.340,854,0,0
2025.04.17 18:55:00,142.336,142.372,142.299,142.334,706,0,0
2025.04.17 19:00:00,142.339,142.370,142.207,142.209,810,0,0
2025.04.17 19:05:00,142.210,142.440,142.186,142.410,1435,5,0
2025.04.17 19:10:00,142.416,142.456,142.382,142.447,1275,4,0
2025.04.17 19:15:00,142.444,142.486,142.401,142.470,838,2,0
2025.04.17 19:20:00,142.472,142.494,142.443,142.453,674,2,0
2025.04.17 19:25:00,142.454,142.567,142.433,142.545,654,3,0
2025.04.17 19:30:00,142.546,142.586,142.521,142.585,635,4,0
2025.04.17 19:35:00,142.586,142.633,142.498,142.513,717,4,0
2025.04.17 19:40:00,142.512,142.528,142.407,142.416,798,4,0
2025.04.17 19:45:00,142.418,142.500,142.409,142.498,468,4,0
2025.04.17 19:50:00,142.499,142.539,142.490,142.500,489,3,0
2025.04.17 19:55:00,142.499,142.546,142.444,142.462,641,4,0
2025.04.17 20:00:00,142.463,142.488,142.431,142.484,731,5,0
2025.04.17 20:05:00,142.485,142.514,142.454,142.454,463,4,0
2025.04.17 20:10:00,142.455,142.463,142.401,142.453,406,4,0
2025.04.17 20:15:00,142.454,142.456,142.420,142.455,436,4,0
2025.04.17 20:20:00,142.454,142.507,142.433,142.507,487,4,0
2025.04.17 20:25:00,142.505,142.505,142.400,142.403,485,4,0
2025.04.17 20:30:00,142.402,142.445,142.395,142.421,404,4,0
2025.04.17 20:35:00,142.422,142.457,142.419,142.457,410,3,0
2025.04.17 20:40:00,142.456,142.462,142.393,142.437,403,3,0
2025.04.17 20:45:00,142.436,142.493,142.419,142.457,446,5,0
2025.04.17 20:50:00,142.458,142.559,142.458,142.507,696,7,0
2025.04.17 20:55:00,142.508,142.565,142.496,142.559,458,3,0
2025.04.17 21:00:00,142.560,142.633,142.544,142.628,417,1,0
2025.04.17 21:05:00,142.627,142.680,142.609,142.675,462,0,0
2025.04.17 21:10:00,142.674,142.715,142.613,142.618,571,0,0
2025.04.17 21:15:00,142.617,142.619,142.560,142.570,502,3,0
2025.04.17 21:20:00,142.571,142.602,142.559,142.561,425,0,0
2025.04.17 21:25:00,142.558,142.568,142.490,142.511,459,0,0
