bar_index,bar_time_epoch_ms,bar_time_utc,bar_time_london,within_export_window,symbol,timeframe,session,session_phase,open,high,low,close,volume,direction,range,body_size,body_ratio,upper_wick,lower_wick,upper_wick_ratio,lower_wick_ratio,close_location,atr,body_atr,range_atr,net_progress_3,net_progress_6,net_progress_12,net_progress_atr_3,net_progress_atr_6,net_progress_atr_12,directional_efficiency_3,directional_efficiency_6,directional_efficiency_12,overlap_with_previous,overlap_ratio_previous,consecutive_higher_closes,consecutive_lower_closes,nearest_level,nearest_level_source,nearest_level_distance,nearest_level_distance_atr,previous_day_high,previous_day_low,previous_session_high,previous_session_low,consolidation_high,consolidation_low,m15_time,m15_direction,m15_trend,m15_efficiency,m15_atr,m15_swing_high,m15_swing_low,m30_time,m30_direction,m30_trend,m30_efficiency,m30_atr,m30_swing_high,m30_swing_low,h1_time,h1_direction,h1_trend,h1_efficiency,h1_atr,h1_swing_high,h1_swing_low
21046,1785365700000,2026-07-29T22:55:00Z,2026-07-29T23:55:00+01:00,false,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.403,163.405,163.377,163.386,487,BEARISH,0.028,0.017,0.6071428571,0.002,0.009,0.0714285714,0.3214285714,0.3214285714,0.0336,0.505952381,0.8333333333,,,,,,,,,,,,0,0,163.368,CONFIRMED_SWING_LOW,0.018,0.5362,163.91,163.229,163.91,163.229,163.697,163.631,1785364200000,NEUTRAL,0,0.3702,0.083,163.569,163.274,1785362400000,BULLISH,1,0.2271,0.1212,163.91,163.274,1785358800000,NEUTRAL,0,0.1623,0.1619,163.91,163.229
21047,1785366000000,2026-07-29T23:00:00Z,2026-07-30T00:00:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.384,163.386,163.327,163.328,455,BEARISH,0.059,0.056,0.9491525424,0.002,0.001,0.0338983051,0.0169491525,0.0169491525,0.0354,1.581920904,1.6666666667,,,,,,,,,,0.009,0.3214285714,0,1,163.368,CONFIRMED_SWING_LOW,0.04,1.1303,163.91,163.229,163.91,163.229,163.697,163.631,1785365100000,NEUTRAL,0,0.3827,0.0801,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21048,1785366300000,2026-07-29T23:05:00Z,2026-07-30T00:05:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.327,163.347,163.298,163.315,631,BEARISH,0.049,0.012,0.2448979592,0.02,0.017,0.4081632653,0.3469387755,0.3469387755,0.0364,0.3296703297,1.3461538462,,,,,,,,,,0.02,0.4081632653,0,2,163.368,CONFIRMED_SWING_LOW,0.053,1.4576,163.91,163.229,163.91,163.229,163.697,163.631,1785365100000,NEUTRAL,0,0.3827,0.0801,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21049,1785366600000,2026-07-29T23:10:00Z,2026-07-30T00:10:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.314,163.37,163.308,163.357,657,BULLISH,0.062,0.043,0.6935483871,0.013,0.006,0.2096774194,0.0967741935,0.7903225806,0.0382,1.1256544503,1.6230366492,-0.029,,,-0.7591623037,,,0.2566371681,,,0.039,0.7959183673,1,0,163.368,CONFIRMED_SWING_LOW,0.011,0.288,163.91,163.229,163.91,163.229,163.697,163.631,1785365100000,NEUTRAL,0,0.3827,0.0801,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21050,1785366900000,2026-07-29T23:15:00Z,2026-07-30T00:15:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.356,163.387,163.355,163.38,264,BULLISH,0.032,0.024,0.75,0.007,0.001,0.21875,0.03125,0.78125,0.0377,0.6366047745,0.848806366,0.052,,,1.3793103448,,,0.6666666667,,,0.015,0.46875,2,0,163.368,CONFIRMED_SWING_LOW,0.012,0.3179,163.91,163.229,163.91,163.229,163.697,163.631,1785366000000,NEUTRAL,0,0.1828,0.0806,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21051,1785367200000,2026-07-29T23:20:00Z,2026-07-30T00:20:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.378,163.386,163.365,163.383,443,BULLISH,0.021,0.005,0.2380952381,0.003,0.013,0.1428571429,0.619047619,0.8571428571,0.0366,0.1366120219,0.5737704918,0.068,,,1.8579234973,,,1,,,0.021,1,3,0,163.455,CONFIRMED_SWING_HIGH,0.072,1.9697,163.91,163.229,163.91,163.229,163.697,163.631,1785366000000,NEUTRAL,0,0.1828,0.0806,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21052,1785367500000,2026-07-29T23:25:00Z,2026-07-30T00:25:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.385,163.39,163.366,163.371,298,BEARISH,0.024,0.014,0.5833333333,0.005,0.005,0.2083333333,0.2083333333,0.2083333333,0.0357,0.3921568627,0.6722689076,0.014,-0.015,,0.3921568627,-0.4201680672,,0.3684210526,0.0993377483,,0.02,0.9523809524,0,1,163.298,CONFIRMED_SWING_LOW,0.073,2.0473,163.91,163.229,163.91,163.229,163.697,163.631,1785366000000,NEUTRAL,0,0.1828,0.0806,163.455,163.274,1785364200000,BULLISH,1,0.2917,0.1177,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21053,1785367800000,2026-07-29T23:30:00Z,2026-07-30T00:30:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.37,163.386,163.362,163.368,232,BEARISH,0.024,0.002,0.0833333333,0.016,0.006,0.6666666667,0.25,0.25,0.0348,0.0574712644,0.6896551724,-0.012,0.04,,-0.3448275862,1.1494252874,,0.6666666667,0.4166666667,,0.02,0.8333333333,0,2,163.298,CONFIRMED_SWING_LOW,0.07,2.0101,163.91,163.229,163.91,163.229,163.697,163.631,1785366900000,NEUTRAL,0,0.2088,0.0774,163.455,163.274,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21054,1785368100000,2026-07-29T23:35:00Z,2026-07-30T00:35:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.368,163.384,163.366,163.381,122,BULLISH,0.018,0.013,0.7222222222,0.003,0.002,0.1666666667,0.1111111111,0.8333333333,0.0336,0.3869047619,0.5357142857,-0.002,0.066,,-0.0595238095,1.9642857143,,0.0714285714,0.6875,,0.018,1,1,0,163.455,CONFIRMED_SWING_HIGH,0.074,2.2009,163.91,163.229,163.91,163.229,163.697,163.631,1785366900000,NEUTRAL,0,0.2088,0.0774,163.455,163.274,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
21055,1785368400000,2026-07-29T23:40:00Z,2026-07-30T00:40:00+01:00,true,USDJPY,5,ASIAN_OVERNIGHT,ASIAN_OVERNIGHT,163.38,163.389,163.363,163.38,393,NEUTRAL,0.026,0,0,0.009,0.017,0.3461538462,0.6538461538,0.6538461538,0.0331,0,0.7854984894,0.009,0.023,,0.2719033233,0.6948640483,,0.5294117647,0.4181818182,,0.018,1,0,1,163.39,CONFIRMED_SWING_HIGH,0.01,0.3023,163.91,163.229,163.91,163.229,163.697,163.631,1785366900000,NEUTRAL,0,0.2088,0.0774,163.455,163.274,1785366000000,BULLISH,1,0.2742,0.1159,163.91,163.274,1785362400000,NEUTRAL,0,0.1609,0.1559,163.91,163.229
